order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
21,1,centralized,Peak,Central Road Only,8.9838,1.7968,5390.25,0.2156,road
21,1,centralized,Peak,Central Road + Metro,8.9838,1.7968,5390.25,0.2156,road
21,1,centralized,Peak,Central Road + Waterbus,8.9838,1.7968,5390.25,0.2156,road
21,1,centralized,Peak,Central Full Multimodal,8.9838,1.7968,5390.25,0.2156,road
22,2,nearest,Off-Peak,Road Only,1.0144,0.5072,1521.54,0.0609,road
22,2,nearest,Off-Peak,Road + Metro,1.0144,0.5072,1521.54,0.0609,road
22,2,nearest,Off-Peak,Road + Waterbus,1.0144,0.5072,1521.54,0.0609,road
22,2,nearest,Off-Peak,Full Multimodal,1.0144,0.5072,1521.54,0.0609,road
22,2,nearest,Peak,Road Only,2.5359,0.5072,1521.54,0.0609,road
22,2,nearest,Peak,Road + Metro,2.5359,0.5072,1521.54,0.0609,road
22,2,nearest,Peak,Road + Waterbus,2.5359,0.5072,1521.54,0.0609,road
22,2,nearest,Peak,Full Multimodal,2.5359,0.5072,1521.54,0.0609,road
22,1,centralized,Off-Peak,Central Road Only,2.7352,1.3676,4102.76,0.1641,road
22,1,centralized,Off-Peak,Central Road + Metro,2.7352,1.3676,4102.76,0.1641,road
22,1,centralized,Off-Peak,Central Road + Waterbus,2.7352,1.3676,4102.76,0.1641,road
22,1,centralized,Off-Peak,Central Full Multimodal,2.7352,1.3676,4102.76,0.1641,road
22,1,centralized,Peak,Central Road Only,6.8379,1.3676,4102.76,0.1641,road
22,1,centralized,Peak,Central Road + Metro,6.8379,1.3676,4102.76,0.1641,road
22,1,centralized,Peak,Central Road + Waterbus,6.8379,1.3676,4102.76,0.1641,road
22,1,centralized,Peak,Central Full Multimodal,6.8379,1.3676,4102.76,0.1641,road
23,1,nearest,Off-Peak,Road Only,2.1168,1.0584,3175.17,0.127,road
23,1,nearest,Off-Peak,Road + Metro,2.1168,1.0584,3175.17,0.127,road
23,1,nearest,Off-Peak,Road + Waterbus,2.1168,1.0584,3175.17,0.127,road
23,1,nearest,Off-Peak,Full Multimodal,2.1168,1.0584,3175.17,0.127,road
23,1,nearest,Peak,Road Only,5.292,1.0584,3175.17,0.127,road
23,1,nearest,Peak,Road + Metro,5.292,1.0584,3175.17,0.127,road
23,1,nearest,Peak,Road + Waterbus,5.292,1.0584,3175.17,0.127,road
23,1,nearest,Peak,Full Multimodal,5.292,1.0584,3175.17,0.127,road
23,1,centralized,Off-Peak,Central Road Only,2.1168,1.0584,3175.17,0.127,road
23,1,centralized,Off-Peak,Central Road + Metro,2.1168,1.0584,3175.17,0.127,road
